No.,player_id,Firstname,Surname,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_name,npg,npxG,xGChain,xGBuildup,year
563,3277,Florian,Lejeune,Florian Lejeune,12,1057,0,0.276563441,0,0.291435745,7,6,0,0,D,Newcastle United,0,0.276563441,2.351591885,2.278653622,2018
564,5656,Mario,Lemina,Mario Lemina,21,1617,1,0.902652904,1,1.320138954,25,13,5,0,M S,Southampton,1,0.902652904,4.548342932,3.366244655,2018
565,7752,Aaron,Lennon,Aaron Lennon,16,466,0,0.024231426,0,0.158013582,1,2,4,0,M S,Burnley,0,0.024231426,0.290895429,0.10865042,2019
566,371,Aaron,Lennon,Aaron Lennon,16,1223,1,0.915638318,1,0.664892957,4,7,1,0,M S,Burnley,1,0.915638318,1.941391679,0.596560055,2018
567,1676,Thakgalo,Leshabela,Thakgalo Leshabela,1,8,0,0,0,0,0,0,0,0,S,Leicester,0,0,1.002465725,1.002465725,2020
568,6482,Jamal,Lewis,Jamal Lewis,24,1824,0,0.119576626,1,0.989783524,3,14,4,0,D S,Newcastle United,0,0.119576626,4.688646201,3.727763444,2020
569,204,Jamal,Lewis,Jamal Lewis,28,2311,1,0.348726461,0,1.011701008,9,15,4,0,D S,Norwich,1,0.348726461,4.066843003,2.890742601,2019
570,492,Stephan,Lichtsteiner,Stephan Lichtsteiner,14,953,0,0.018410899,0,0.086455641,1,3,3,0,D S,Arsenal,0,0.018410899,1.660576399,1.590919834,2018
571,499,Victor,Lindelöf,Victor Lindelöf,29,2587,1,0.798889451,1,0.402378619,4,6,0,0,D,Manchester United,1,0.798889451,9.030322801,8.88187627,2020
572,508,Victor,Lindelöf,Victor Lindelöf,35,3100,1,0.184089841,0,0.370490724,6,4,6,0,D,Manchester United,1,0.184089841,8.878299836,8.868012652,2019
573,847,Victor,Lindelöf,Victor Lindelöf,30,2604,1,0.840772014,1,1.583196253,8,5,1,0,D S,Manchester United,1,0.840772014,8.736524267,7.977661787,2018
574,1227,Jesse,Lingard,Jesse Lingard,16,1434,9,5.249168519,4,2.329288414,42,18,3,0,F M,West Ham,8,3.726830892,10.09570865,5.690425143,2020
575,6492,Jesse,Lingard,Jesse Lingard,22,919,1,2.327569552,0,1.110420321,22,20,3,0,M S,Manchester United,1,2.327569552,7.162810549,3.927907876,2019
576,6630,Jesse,Lingard,Jesse Lingard,27,1677,4,4.844160246,2,3.156424998,32,17,3,0,F M S,Manchester United,3,4.082991349,10.80028724,5.214572966,2018
