Pos,Player,Team,Points,Cost
FW,Welbeck,Brighton,89,6.00
FW,Nketiah,Arsenal,36,5.50
FW,Wesley,Aston Villa,3,5.50
FW,Samatta,Aston Villa,0,5.50
FW,Connolly,Brighton,38,5.50
FW,Rodriguez,Burnley,54,5.50
FW,Vydra,Burnley,62,5.50
FW,Batshuayi,Chelsea,41,5.50
FW,Mateta,Crystal Palace,15,5.50
FW,Gayle,Newcastle,31,5.50
FW,Deeney,Watford,0,5.50
FW,Gray,Watford,0,5.50
FW,Origi,Liverpool,10,5.00
FW,Idah,Norwich,0,5.00
FW,Success,Watford,0,5.00
FW,Davis,Aston Villa,23,4.50
FW,Nlundulu,Southampton,13,4.50
FW,Obafemi,Southampton,4,4.50
